公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-06-26,0.0,0.0,0.53,实施,2026-07-02,2026-07-01,
2025-09-10,0.0,0.0,1.36,实施,2025-09-16,2025-09-15,
2025-07-04,0.0,0.0,0.62,实施,2025-07-14,2025-07-11,
2024-11-05,0.0,0.0,1.3,实施,2024-11-13,2024-11-12,
2024-07-04,0.0,0.0,2.16,实施,2024-07-12,2024-07-11,
2023-06-16,0.0,0.0,2.14,实施,2023-06-26,2023-06-21,
2022-06-18,0.0,0.0,2.13,实施,2022-06-24,2022-06-23,
2021-06-18,0.0,0.0,2.13,实施,2021-06-24,2021-06-23,
2020-07-07,0.0,0.0,3.7,实施,2020-07-13,2020-07-10,
2019-06-29,0.0,0.0,3.45,实施,2019-07-05,2019-07-04,
2018-06-29,0.0,2.0,0.9,实施,2018-07-05,2018-07-04,
2017-09-20,0.0,0.0,1.2,实施,2017-09-26,2017-09-25,
2017-06-30,0.0,0.0,1.65,实施,2017-07-06,2017-07-05,
2016-09-20,0.0,0.0,1.15,实施,2016-09-26,2016-09-23,
2016-06-18,0.0,0.0,1.6,实施,2016-06-24,2016-06-23,
2016-02-20,0.0,0.0,0.75,实施,2016-02-26,2016-02-25,
2015-08-29,0.0,0.0,0.75,预案,,,
2015-07-01,0.0,0.0,1.1,实施,2015-07-07,2015-07-06,
2014-12-25,0.0,0.0,0.75,实施,2015-01-09,2015-01-08,
2014-06-18,2.0,0.0,1.0,实施,2014-06-25,2014-06-24,
2013-09-03,0.0,0.0,1.58,实施,2013-09-10,2013-09-09,
2013-06-20,0.0,0.0,1.5,实施,2013-06-27,2013-06-26,
2012-08-28,0.0,0.0,1.5,实施,2012-09-03,2012-08-31,
2012-06-19,0.0,0.0,3.0,实施,2012-06-26,2012-06-25,
2011-06-01,0.0,0.0,1.0,实施,2011-06-09,2011-06-08,
2010-07-09,2.0,0.0,0.5,实施,2010-07-15,2010-07-14,
2009-05-20,0.0,0.0,0.8,实施,2009-05-26,2009-05-25,
2008-03-31,2.0,1.0,0.5,实施,2008-04-07,2008-04-03,
2007-06-05,0.0,1.9,0.0,实施,2007-06-11,2007-06-08,2007-06-12
2006-04-11,1.5,2.5,0.5,实施,2006-04-17,2006-04-14,
2005-10-21,0.0,1.55,0.0,实施,2005-10-25,2005-10-24,2005-10-26
2005-04-12,2.0,0.0,0.7,实施,2005-04-18,2005-04-15,
2004-04-13,2.0,1.5,1.2,实施,2004-04-19,2004-04-16,
2003-04-08,2.0,1.0,0.6,实施,2003-04-14,2003-04-11,
2002-06-13,1.5,0.0,0.7,实施,2002-06-19,2002-06-18,
2001-05-24,0.0,3.0,2.0,实施,2001-05-31,2001-05-30,
