公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-07-04,0,0.0,10.03,实施,2026-07-10,2026-07-09,
2026-01-10,0,0.0,10.13,实施,2026-01-16,2026-01-15,
2025-12-30,0,0.0,10.13,预案,,,
2025-07-04,0,0.0,20.0,实施,2025-07-11,2025-07-10,
2024-07-04,0,0.0,19.72,实施,2024-07-11,2024-07-10,
2023-07-06,0,0.0,17.38,实施,2023-07-13,2023-07-12,
2022-07-08,0,0.0,15.22,实施,2022-07-15,2022-07-14,
2021-07-06,0,0.0,12.53,实施,2021-07-13,2021-07-12,
2020-07-03,0,0.0,12.0,实施,2020-07-10,2020-07-09,
2019-07-05,0,0.0,9.4,实施,2019-07-12,2019-07-11,
2018-07-05,0,0.0,8.4,实施,2018-07-12,2018-07-11,
2017-06-06,0,0.0,7.4,实施,2017-06-14,2017-06-13,
2016-07-05,0,0.0,6.9,实施,2016-07-13,2016-07-12,
2015-06-25,0,0.0,6.7,实施,2015-07-03,2015-07-02,
2014-07-03,0,0.0,6.2,实施,2014-07-11,2014-07-10,
2013-06-04,0,0.0,6.3,实施,2013-06-13,2013-06-07,
2012-06-01,0,0.0,4.2,实施,2012-06-07,2012-06-06,
2011-06-03,0,0.0,2.9,实施,2011-06-10,2011-06-09,
2010-06-25,0,0.0,2.1,实施,2010-07-01,2010-06-30,
2009-06-29,3,0.0,1.0,实施,2009-07-03,2009-07-02,
2008-07-22,0,0.0,2.8,实施,2008-07-28,2008-07-25,
2007-06-28,0,0.0,1.2,实施,2007-07-04,2007-07-03,
2006-09-15,0,0.0,1.8,实施,2006-09-21,2006-09-20,
2006-06-12,0,0.0,0.8,实施,2006-06-16,2006-06-15,
2006-02-22,0,0.8589,0.0,实施,2006-02-24,2006-02-23,2006-02-27
2005-06-14,0,5.0,1.1,实施,2005-06-20,2005-06-17,
2004-04-28,0,2.0,0.92,实施,2004-05-11,2004-05-10,
2003-07-08,0,0.0,1.2,实施,2003-07-16,2003-07-15,
