公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-06-27,0,0,1.169,实施,2026-07-10,2026-07-09,
2025-12-05,0,0,1.094,实施,2025-12-11,2025-12-10,
2025-04-21,0,0,1.216,实施,2025-04-25,2025-04-24,
2025-01-15,0,0,1.208,实施,2025-01-23,2025-01-22,
2024-08-30,0,0,1.208,预案,,,
2024-07-10,0,0,2.364,实施,2024-07-17,2024-07-16,
2023-07-08,0,0,2.32,实施,2023-07-17,2023-07-14,
2022-07-08,0,0,2.21,实施,2022-07-15,2022-07-14,
2021-05-28,0,0,1.97,实施,2021-06-04,2021-06-03,
2020-07-08,0,0,1.91,实施,2020-07-15,2020-07-14,
2019-05-25,0,0,1.84,实施,2019-06-03,2019-05-31,
2018-07-06,0,0,1.76,实施,2018-07-13,2018-07-12,
2017-07-07,0,0,1.68,实施,2017-07-14,2017-07-13,
2016-06-17,0,0,1.75,实施,2016-06-24,2016-06-23,
2015-06-26,0,0,1.9,实施,2015-07-03,2015-07-02,
2014-06-20,0,0,1.96,实施,2014-06-27,2014-06-26,
2013-06-06,0,0,1.75,实施,2013-06-18,2013-06-17,
2012-06-06,0,0,1.55,实施,2012-06-13,2012-06-12,
2011-06-03,0,0,1.46,实施,2011-06-10,2011-06-09,
2010-05-31,0,0,1.4,实施,2010-06-04,2010-06-03,
2009-06-22,0,0,1.3,实施,2009-06-26,2009-06-25,
2008-06-23,0,0,1.0,实施,2008-06-27,2008-06-26,
2007-06-20,0,0,0.4,实施,2007-07-03,2007-07-02,
