公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-05-07,0,0,1.689,实施,2026-05-13,2026-05-12,
2025-12-09,0,0,1.414,实施,2025-12-15,2025-12-12,
2025-03-29,0,0,1.646,实施,2025-07-14,2025-07-11,
2024-12-31,0,0,1.434,实施,2025-01-07,2025-01-06,
2024-07-09,0,0,3.064,实施,2024-07-16,2024-07-15,
2023-07-11,0,0,3.035,实施,2023-07-17,2023-07-14,
2022-07-05,0,0,2.933,实施,2022-07-12,2022-07-11,
2021-06-29,0,0,2.66,实施,2021-07-06,2021-07-05,
2020-06-20,0,0,2.628,实施,2020-06-30,2020-06-29,
2019-06-27,0,0,2.506,实施,2019-07-03,2019-07-02,
2018-07-06,0,0,2.408,实施,2018-07-13,2018-07-12,
2017-07-04,0,0,2.343,实施,2017-07-11,2017-07-10,
2016-07-01,0,0,2.333,实施,2016-07-08,2016-07-07,
2015-06-29,0,0,2.554,实施,2015-07-07,2015-07-06,
2014-06-13,0,0,2.617,实施,2014-06-20,2014-06-19,
2013-06-19,0,0,2.39,实施,2013-06-26,2013-06-25,
2012-06-07,0,0,2.03,实施,2012-06-14,2012-06-13,
2011-06-08,0,0,1.84,实施,2011-06-15,2011-06-14,
2010-05-20,0,0,1.7,实施,2010-05-27,2010-05-26,
2009-05-27,0,0,1.65,实施,2009-06-04,2009-06-03,
2008-06-11,0,0,1.33,实施,2008-06-18,2008-06-17,
2007-06-15,0,0,0.16,实施,2007-06-21,2007-06-20,
