公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-07-07,0,0,2.029,实施,2026-07-13,2026-07-10,
2025-12-05,0,0,1.858,实施,2025-12-11,2025-12-10,
2025-04-30,0,0,2.06,实施,2025-05-09,2025-05-08,
2025-01-03,0,0,1.97,实施,2025-01-10,2025-01-09,
2024-08-31,0,0,1.97,预案,,,
2024-07-06,0,0,4.0,实施,2024-07-12,2024-07-11,
2023-07-08,0,0,3.89,实施,2023-07-14,2023-07-13,
2022-07-01,0,0,3.64,实施,2022-07-08,2022-07-07,
2021-07-07,0,0,3.26,实施,2021-07-15,2021-07-14,
2020-07-02,0,0,3.2,实施,2020-07-10,2020-07-09,
2019-07-02,0,0,3.06,实施,2019-07-10,2019-07-09,
2018-07-10,0,0,2.91,实施,2018-07-17,2018-07-16,
2017-06-24,0,0,2.78,实施,2017-06-30,2017-06-29,
2016-06-23,0,0,2.74,实施,2016-06-30,2016-06-29,
2015-06-24,0,0,3.01,实施,2015-07-01,2015-06-30,
2014-07-03,0,0,3.0,实施,2014-07-10,2014-07-09,
2013-06-17,0,0,2.68,实施,2013-06-21,2013-06-20,
2012-06-18,0,0,2.365,实施,2012-06-25,2012-06-21,
2011-06-17,0,0,2.122,实施,2011-06-24,2011-06-23,
2010-07-02,0,0,2.02,实施,2010-07-08,2010-07-07,
2009-06-18,0,0,0.837,实施,2009-06-24,2009-06-23,
2008-10-25,0,0,1.105,实施,2008-11-17,2008-11-14,
2008-06-18,0,0,0.65,实施,2008-06-24,2008-06-23,
