code,name,ex_date,dividend_per_share,pre_ex_close,ex_date_close,pre_ex_yield,days,actual_days,holder_return,entrant_return,market_return,excess_holder,excess_entrant,filled,partial
002555,三七互娱,2020-09-25,0.3,40.52,40.59,0.007403751233958538,5,5,-0.06515301085883533,-0.07415619610741575,0.055390542977692636,-0.12054355383652797,-0.1295467390851084,True,False
002555,三七互娱,2020-09-25,0.3,40.52,40.59,0.007403751233958538,20,20,-0.2818361303060217,-0.2904656319290466,0.03299962232129294,-0.31483575262731467,-0.32346525425033956,True,False
002555,三七互娱,2020-09-25,0.3,40.52,40.59,0.007403751233958538,60,60,-0.339832181638697,-0.34836166543483627,0.10818175492371807,-0.44801393656241506,-0.45654342035855433,True,False
002555,三七互娱,2020-09-25,0.3,40.52,40.59,0.007403751233958538,120,120,-0.44693978282329716,-0.4552845528455285,0.11481498338520035,-0.5617547662084975,-0.5700995362307288,True,False
002555,三七互娱,2021-08-18,0.2,17.61,17.73,0.011357183418512209,5,5,0.024985803520726935,0.006768189509306355,0.0008007375203249456,0.02418506600040199,0.005967451988981409,True,False
002555,三七互娱,2021-08-18,0.2,17.61,17.73,0.011357183418512209,20,20,0.24134014764338446,0.22165820642978007,-0.005500141186431828,0.2468402888298163,0.2271583476162119,True,False
002555,三七互娱,2021-08-18,0.2,17.61,17.73,0.011357183418512209,60,60,0.504258943781942,0.4827975183305131,-0.0008540655358403315,0.5051130093177824,0.48365158386635343,True,False
002555,三七互娱,2021-08-18,0.2,17.61,17.73,0.011357183418512209,120,120,0.3679727427597956,0.347433728144388,-0.05310816515257333,0.4210809079123689,0.4005418932969613,True,False
002555,三七互娱,2021-11-09,0.15,25.73,24.96,0.0058297706956859695,5,5,0.07384376214535555,0.10096153846153855,0.007546715898343326,0.06629704624701223,0.09341482256319522,True,False
002555,三七互娱,2021-11-09,0.15,25.73,24.96,0.0058297706956859695,20,20,-0.05363389040031102,-0.030448717948718063,0.01554817007046383,-0.06918206047077485,-0.04599688801918189,True,False
002555,三七互娱,2021-11-09,0.15,25.73,24.96,0.0058297706956859695,60,60,-0.026428293820443188,-0.0024038461538462563,-0.040167790995356834,0.013739497174913646,0.03776394484151058,True,False
002555,三七互娱,2021-11-09,0.15,25.73,24.96,0.0058297706956859695,120,120,-0.11504080839486984,-0.09375,-0.17956818020510268,0.06452737181023284,0.08581818020510268,True,False
002555,三七互娱,2022-05-27,0.37,21.02,20.6,0.017602283539486202,5,5,0.0352045670789725,0.03834951456310676,0.04118312577990291,-0.005978558700930406,-0.0028336112167961502,True,False
002555,三七互娱,2022-05-27,0.37,21.02,20.6,0.017602283539486202,20,20,0.04234062797335873,0.045631067961164895,0.11070529845432708,-0.06836467048096835,-0.06507423049316219,True,False
002555,三七互娱,2022-05-27,0.37,21.02,20.6,0.017602283539486202,60,60,-0.004757373929590764,-0.0024271844660194164,0.04500988304048259,-0.04976725697007335,-0.047437067506502006,True,False
002555,三七互娱,2022-05-27,0.37,21.02,20.6,0.017602283539486202,120,120,-0.1555661274976213,-0.15631067961165057,-0.05791269285299605,-0.09765343464462525,-0.09839798675865452,True,False
002555,三七互娱,2022-09-26,0.35,17.65,17.2,0.019830028328611898,5,5,-0.0283286118980168,-0.023255813953488302,-0.03016673021992733,0.0018381183219105292,0.006910916266439027,True,False
002555,三七互娱,2022-09-26,0.35,17.65,17.2,0.019830028328611898,20,20,-0.15920679886685546,-0.15755813953488362,-0.08548387054735129,-0.07372292831950417,-0.07207426898753233,True,False
002555,三七互娱,2022-09-26,0.35,17.65,17.2,0.019830028328611898,60,60,0.003399433427762169,0.009302325581395321,0.0017754947836370327,0.0016239386441251362,0.007526830797758288,True,False
002555,三七互娱,2022-09-26,0.35,17.65,17.2,0.019830028328611898,120,120,0.5654390934844196,0.5860465116279072,0.04244245736610086,0.5229966361183187,0.5436040542618064,True,False
002555,三七互娱,2023-06-02,0.45,32.19,31.75,0.01397949673811743,5,5,0.0767319043181114,0.07748031496063001,-0.006507529842038728,0.08323943416015013,0.08398784480266874,True,False
002555,三七互娱,2023-06-02,0.45,32.19,31.75,0.01397949673811743,20,20,0.02858030444237346,0.02866141732283456,0.00962729107465532,0.018953013367718142,0.01903412624817924,True,False
002555,三七互娱,2023-06-02,0.45,32.19,31.75,0.01397949673811743,60,60,-0.17614165890027955,-0.17889763779527557,-0.018573299629139894,-0.15756835927113966,-0.16032433816613567,True,False
002555,三七互娱,2023-06-02,0.45,32.19,31.75,0.01397949673811743,120,120,-0.2957440198819509,-0.3001574803149607,-0.0967226970398003,-0.19902132284215063,-0.2034347832751604,True,False
002555,三七互娱,2023-09-28,0.45,22.1,21.7,0.020361990950226245,5,5,-0.030769230769230917,-0.033640552995391704,-0.007075993958016724,-0.023693236811214193,-0.02656455903737498,False,False
002555,三七互娱,2023-09-28,0.45,22.1,21.7,0.020361990950226245,20,20,-0.002262443438914059,-0.004608294930875445,-0.028562275224643163,0.026299831785729103,0.023953980293767718,False,False
002555,三七互娱,2023-09-28,0.45,22.1,21.7,0.020361990950226245,60,60,-0.1285067873303169,-0.13317972350230423,-0.07003816488716541,-0.058468622443151486,-0.06314155861513882,True,False
002555,三七互娱,2023-09-28,0.45,22.1,21.7,0.020361990950226245,120,120,-0.17375565610859742,-0.1792626728110599,-0.02950006735298949,-0.14425558875560793,-0.1497626054580704,True,False
002555,三七互娱,2024-05-21,0.37,16.52,16.02,0.022397094430992737,5,5,-0.10108958837772397,-0.09612983770287131,-0.018222542483857462,-0.08286704589386651,-0.07790729521901385,False,False
002555,三七互娱,2024-05-21,0.37,16.52,16.02,0.022397094430992737,20,20,-0.15738498789346245,-0.15418227215980018,-0.04009944069370197,-0.11728554719976048,-0.11408283146609821,False,False
002555,三七互娱,2024-05-21,0.37,16.52,16.02,0.022397094430992737,60,60,-0.17736077481840193,-0.17478152309612982,-0.09981118890059493,-0.077549585917807,-0.0749703341955349,False,False
002555,三七互娱,2024-05-21,0.37,16.52,16.02,0.022397094430992737,120,120,0.06295399515738516,0.0730337078651686,0.07961294404679231,-0.016658948889407152,-0.006579236181623704,True,False
002555,三七互娱,2024-09-04,0.21000000000000002,13.72,13.49,0.015306122448979593,5,5,0.035714285714285726,0.037805782060785775,-0.02030493532769706,0.056019221041982786,0.058110717388482835,True,False
002555,三七互娱,2024-09-04,0.21000000000000002,13.72,13.49,0.015306122448979593,20,20,0.1734693877551021,0.17790956263899194,0.19525516079288718,-0.02178577303778509,-0.017345598153895248,True,False
002555,三七互娱,2024-09-04,0.21000000000000002,13.72,13.49,0.015306122448979593,60,60,0.26895043731778423,0.27501853224610806,0.22169108885926758,0.04725934845851665,0.05332744338684048,True,False
002555,三七互娱,2024-09-04,0.21000000000000002,13.72,13.49,0.015306122448979593,120,120,0.1567055393586006,0.16085989621942187,0.211936048755214,-0.05523050939661339,-0.05107615253579212,True,False
002555,三七互娱,2025-05-21,0.37,15.1,14.73,0.024503311258278145,5,5,-0.0172185430463576,-0.017651052274270218,-0.020463790422841854,0.003245247376484253,0.0028127381485716363,False,False
